Client ID,Name,Age,Sex,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Investment Advisor,Fee Structure,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting
PKR81288,Raymond Mills,24,Male,34324,2019-05-06,Anthony Torres,American,Safety Technician IV,Victor Dean,High,Jade,Retail,75384.7686,17677.95,1,484.54400000000004,776242.9184000001,1485828.636672,603617.883648,607332.4552396801,12249.958400000001,1134475.3024000002,1,2
PKR65833,Julia Spencer,23,Male,42205,2001-12-10,Jonathan Hawkins,African,Software Consultant,Jeremy Porter,High,Jade,Retail,289834.314,17398.920000000002,1,2256.8777,1270615.4307000001,641482.7895630001,229521.365073,344635.15740192,61162.3089,2000526.1045000001,1,3
PKR47499,Stephen Murray,27,Female,7314,2010-01-25,Anthony Berry,European,Help Desk Operator,Ernest Knight,High,Gold,Institutional,169935.22520000002,42825.9,2,4568.743799999999,1052715.843,1033401.5934119999,652674.6905759999,203054.34817920002,79071.7794,548137.5815999999,1,3
PKR72498,Virginia Garza,40,Male,34594,1993-03-28,Steve Diaz,American,Geologist II,Eric Shaw,Mid,Silver,Institutional,356808.1125,5473.15,2,4205.000999999999,121195.05699999999,1048157.4937199999,1048157.4937199999,234685.01932559998,57513.651999999995,1148402.292,0,4
PKR60181,Melissa Sanders,46,Female,41269,2012-07-20,Shawn Long,American,Assistant Professor,Kevin Kim,Mid,Platinum,Private Bank,130711.68000000001,48077.600000000006,1,3779.488,1048301.952,487782.53400000004,446644.24799999996,128351.45232,30012.136,1674412.12,0,3
PKR78532,Samuel Hudson,23,Male,13204,2019-02-07,Douglas Tucker,American,Help Desk Technician,Victor Rogers,High,Silver,Private Bank,118326.96,6028.2,2,5148.5625,601902.4950000001,1307269.4085000004,745627.7367,238310.37143100004,15615.18,1556031.06,1,2
PKR95683,Timothy Alexander,46,Female,42910,2002-06-02,Douglas Tucker,Asian,Account Coordinator,Eugene Cunningham,High,Gold,Institutional,57336.473600000005,13929.160000000002,1,959.9016000000001,208909.6884,41200.183332,60588.50490000001,24639.325326000002,3045.7812000000004,154111.61640000003,1,1
PKR40785,Carl Martin,78,Female,6127,2000-11-03,Steve Diaz,European,Automation Specialist II,Joe Carroll,Mid,Gold,Retail,65125.7984,31077.8,1,4576.5824,1140704.8016000001,156983.13113600004,53889.73158400001,46813.775523840006,51979.189600000005,1171456.6760000002,0,2
PKR13570,Philip Day,67,Female,32656,2015-04-07,Bruce Butler,Asian,Software Test Engineer II,Steve Sanchez,High,Silver,Private Bank,87849.47340000002,9385.35,1,78.624,803444.46,1242347.2151999997,328334.62116,279528.12341999996,27125.280000000002,464560.278,0,1
PKR53299,Jason Sims,51,Male,28340,1995-11-20,Joe Price,European,Geologist III,Joe Carroll,Mid,Silver,Institutional,65369.36,27364.800000000003,3,4836.8640000000005,60027.90400000001,317246.66880000004,111532.032,115869.38880000002,48043.520000000004,908583.936,2,1
PKR76263,Amy Martinez,55,Male,40459,2014-10-18,Adam Hernandez,European,Administrative Officer,Victor Rogers,High,Jade,Commercial,74966.51250000001,16928.73,1,493.31700000000006,214327.82250000004,37979.77342500001,19335.157380000008,52204.92492600001,10539.7875,353119.93200000003,3,1
PKR56452,David Johnston,73,Female,25563,2005-09-12,Chris Armstrong,American,Database Administrator II,Eugene Cunningham,Mid,Jade,Commercial,111449.05619999998,17480.19,2,392.5875,580468.5059999999,749007.94425,204991.6479,513425.23504799994,22904.908499999994,294397.8464999999,0,2
PKR28766,Wayne Foster,45,Female,35687,2018-03-17,Joshua Ryan,African,Staff Scientist,Steve Sanchez,Low,Silver,Institutional,115637.18879999999,10848.6,1,5055.308999999999,815250.639,616330.9288499999,208277.34837,138738.21736319998,6336.6449999999995,972455.4629999999,3,1
PKR17897,Carlos Moore,44,Female,19554,1996-01-02,Paul Larson,American,Programmer I,Lawrence Sanchez,High,Jade,Commercial,124434.77760000003,26146.000000000004,2,5211.370400000001,984792.4968000001,802862.9692280001,263714.11398,174051.31522680004,68855.48760000001,835554.8348000002,0,2
